model,frame,checkpoint,regime,n_layers,kv_mean,attn_to_anchor_mean,I_kv,D_kv,B_kv,I_ent,D_ent,B_ent,override_count
mistralai/Mistral-7B-Instruct-v0.3,instruct,32000,compliance,32,369.61198687553406,0.5851776294002775,0.9869680130007346,0.03409298293002293,1.0104702389158677,0.9732039320608719,0.04870830738408903,1.0584198817759698,1
Qwen/Qwen2.5-7B-Instruct,verify,500,derivation,28,235.15703571694237,0.37202007190457415,0.9781004975735782,0.04429097987755501,0.5991672370365249,0.961167387373896,0.057809521787556016,0.012111771261220625,2
Qwen/Qwen2.5-7B-Instruct,verify,2000,derivation,28,250.39555689266749,0.3783058973162302,0.9668986573947024,0.05464142366360636,2.425279258070411,0.9804879572439684,0.041100926088279144,1.815871104417063,2
Qwen/Qwen2.5-7B-Instruct,verify,8000,derivation,28,245.7835691145488,0.32468011805654634,0.9633329948981317,0.057517566110986545,2.9722946210759393,0.9833560324398272,0.038130887592207126,2.1126157431126735,2
Qwen/Qwen2.5-7B-Instruct,verify,16000,derivation,28,246.0127216407231,0.3046234023141941,0.9611278886520097,0.05926849230832076,3.308312081025436,0.9835589549109661,0.03795646364321019,2.1314974496432644,0
Qwen/Qwen2.5-7B-Instruct,verify,32000,derivation,28,246.31518186841691,0.32762944883974604,0.9603985701452877,0.05984012308066018,3.4188351771797096,0.9843133927107178,0.03717517786380514,2.209556746393908,0
meta-llama/Llama-3.1-8B-Instruct,verify,500,derivation,32,283.6341197490692,0.6330081573687494,0.9955057568412021,0.01989500851971725,2.9186865916936906,0.8943270221517594,0.09878691744779869,5.232202106590331,1
meta-llama/Llama-3.1-8B-Instruct,verify,2000,derivation,32,372.2742302417755,0.568271959782578,0.9878885962538888,0.03291852175864555,1.187049563700509,0.9275781690262476,0.08073163073141887,2.761193279341433,0
meta-llama/Llama-3.1-8B-Instruct,verify,8000,derivation,32,349.59476923942566,0.5890846156398766,0.9898937674961759,0.030014566645406884,1.599969958117823,0.9412334407335233,0.07251564669465582,1.699003824785603,0
meta-llama/Llama-3.1-8B-Instruct,verify,16000,derivation,32,337.1048128604889,0.5576274461345747,0.9907357606866547,0.028699978271535198,1.7811506856104369,0.9400840996456797,0.07340496768283426,1.800112819932008,0
meta-llama/Llama-3.1-8B-Instruct,verify,32000,derivation,32,327.2829587459564,0.5298834467175766,0.9920737318989016,0.02649556235071447,2.078507233957477,0.9375931349642906,0.07517740583832146,2.0100735037646142,0
mistralai/Mistral-7B-Instruct-v0.3,verify,500,derivation,32,292.2791785001755,0.6056561283767223,0.9888683090376158,0.031426844883672006,1.3947602862314983,0.9679478381786002,0.05360732048956407,0.5467920556886038,0
mistralai/Mistral-7B-Instruct-v0.3,verify,2000,derivation,32,383.47100615501404,0.6155203009257093,0.9789911858590326,0.043504448549795176,0.45695244285673087,0.9693654887741232,0.052203069792974184,0.6896930270533095,1
mistralai/Mistral-7B-Instruct-v0.3,verify,8000,derivation,32,366.5366530418396,0.5731084783328697,0.9841689846076069,0.03764968992861412,0.47474695946794365,0.9694102939891478,0.052150070314033244,0.6947194825323144,1
mistralai/Mistral-7B-Instruct-v0.3,verify,16000,derivation,32,362.576917886734,0.47920904122292995,0.9858525012611322,0.03554969175550381,0.7937541671646827,0.9703431746802281,0.051321166730371,0.7831231351782435,1
mistralai/Mistral-7B-Instruct-v0.3,verify,32000,derivation,32,362.8279436826706,0.4699183956399793,0.9872812577523984,0.03367847504507844,1.0717721347152391,0.9712987056770958,0.05044744371898722,0.8751346930252646,1
Qwen/Qwen2.5-7B-Instruct,instruct_no_repeat,500,compliance,28,231.99051637308938,0.35431318011667046,0.9765958116489791,0.04585335570386722,0.8585420963253338,0.9604062512311268,0.0585097491847037,0.061432690067126275,1
Qwen/Qwen2.5-7B-Instruct,instruct_no_repeat,2000,compliance,28,248.1144243649074,0.3498190657368728,0.9658099438866126,0.055575578040241685,2.596882416695464,0.9777499162890798,0.04395114206236064,1.5317024556969514,0
Qwen/Qwen2.5-7B-Instruct,instruct_no_repeat,8000,compliance,28,244.31310270513808,0.29340112921116607,0.9629312086387681,0.05784955241230084,3.034579784033065,0.9837323527393375,0.037678965904833384,2.155234208784767,1
Qwen/Qwen2.5-7B-Instruct,instruct_no_repeat,16000,compliance,28,244.72151500838143,0.31711990032012444,0.9609267377777885,0.059429936269639105,3.3391048362579516,0.9838206009431182,0.03763065698637247,2.161815344684628,1
Qwen/Qwen2.5-7B-Instruct,instruct_no_repeat,32000,compliance,28,245.68381668840135,0.2870418181482819,0.9601262336933455,0.060053843877600016,3.4601276968784944,0.9846848471696246,0.03671478106534585,2.252471576514745,0
meta-llama/Llama-3.1-8B-Instruct,instruct_no_repeat,500,compliance,32,279.88246607780457,0.5966269010677934,0.9944477486233229,0.022127022707223543,2.643537112987009,0.8992232743495208,0.09641145316092187,4.885104675128082,0
meta-llama/Llama-3.1-8B-Instruct,instruct_no_repeat,2000,compliance,32,367.4019727706909,0.5867356674280018,0.9869795687572841,0.034141609744588124,1.0074999987559843,0.9350064133883481,0.07639176652433888,2.1910437131083125,0
meta-llama/Llama-3.1-8B-Instruct,instruct_no_repeat,8000,compliance,32,347.78149485588074,0.5985664976469707,0.9889650735407185,0.031373167526464775,1.4076100271523457,0.946808324179113,0.0689285396666365,1.2515741765569937,0
meta-llama/Llama-3.1-8B-Instruct,instruct_no_repeat,16000,compliance,32,336.76995050907135,0.6296982624917291,0.9896206824404831,0.030388679051560168,1.5454839854537097,0.944662530693645,0.07049667991071357,1.4348855014096298,0
meta-llama/Llama-3.1-8B-Instruct,instruct_no_repeat,32000,compliance,32,328.1025906801224,0.5619897118813242,0.9907487271622378,0.028636012444824836,1.7875194213800274,0.9415174174644632,0.07273914873251519,1.7002543156504177,0
mistralai/Mistral-7B-Instruct-v0.3,instruct_no_repeat,500,compliance,32,289.3029103279114,0.5043668961152434,0.9884141597925783,0.032054857289048395,1.3036694203012886,0.9733255382777877,0.04883714419714757,1.0559237789553109,0
mistralai/Mistral-7B-Instruct-v0.3,instruct_no_repeat,2000,compliance,32,379.787677526474,0.5699516048189253,0.9784479742634244,0.04405819137460615,0.5497475178186707,0.9706125994307312,0.051087735739770025,0.8083019607202888,0
mistralai/Mistral-7B-Instruct-v0.3,instruct_no_repeat,8000,compliance,32,364.7586990594864,0.5715528987930156,0.9837845439228015,0.038104208183727,0.40394840284961964,0.9710954791177088,0.05065071513179161,0.8545328560156649,1
mistralai/Mistral-7B-Instruct-v0.3,instruct_no_repeat,16000,compliance,32,361.5713928937912,0.6322414433234371,0.985506264585167,0.03598392746949097,0.727954384714454,0.9720812750152628,0.04975283079213113,0.9492508516655824,1
mistralai/Mistral-7B-Instruct-v0.3,instruct_no_repeat,32000,compliance,32,362.3238469362259,0.6249200024758466,0.9870403126258306,0.03399819737965812,1.024546692848994,0.9730212083944425,0.048870003993882784,1.041143349478178,1
